Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,"Earnings per share diluted growth %, TTM YoY",Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week
CLIR,ClearSign Technologies Corporation,0.5491,USD,-2.2431903151148203,25274,0.47068770613771255,29440541.494214,USD,-2.7216856892010584,Producer manufacturing,Strong buy,0.6047913225191142,0.6326062568398751,0.6578568617866247,-3.4973637961335533
DTST,Data Storage Corporation,3.92,USD,1.2919896640826827,20233,1.580184626919292,29393561.881136946,USD,-870.3517587939698,Technology services,Neutral,4.3088778901799,4.39686742563883,4.418211427257468,-0.5076142131979701
KTBA,CORTS TRUST BELLSOUTH 7% PRF 1/12/95 PERPETUAL USD25,21.47,USD,-1.7391304347826202,2000,1.1719894520949312,29285685,USD,,Finance,No rating,21.439740638680288,21.399163664807897,21.3822960205247,4.731707317073165
KTH,Structures Products Cp 8% CorTS Issued by Peco Energy Cap Tr II Preferred Stock,28.7,USD,-0.5544005544005549,376,0.24647656506063587,29285685,USD,,Finance,No rating,28.750563099478132,28.75114327585396,28.760818856885358,0.01742463843874893
ELMA,"Elmer Bancorp, Inc.",24,USD,0,118,0.08186485361454142,29272322,USD,15.937889697896129,Finance,No rating,23.769591875414623,23.492053354627053,23.1635819756206,0
RSRV,Reserve Petroleum Company (The),193,USD,2.8004876897747604,45,0.872093023255814,29261886.000000004,USD,44.90911927607457,Energy minerals,No rating,188.34698473466077,185.96826012211864,182.76756253053324,2.6595744680851063
GTHP,"Guided Therapeutics, Inc.",0.35,USD,-5.405405405405411,2278,0.18638978210887192,29259705,USD,8.962264150943392,Health technology,No rating,0.37614449066825933,0.3673646077111503,0.34507651499177117,0.02857959416975964
VEEA,Veea Inc.,0.5795,USD,3.4821428571428505,2300519,0.29258726710411226,29211184.538392857,USD,95.33229455998917,Technology services,No rating,0.5373822103572491,0.5633098143764228,0.6479005281388096,14.277262867284563
QVCGA,"QVC Group, Inc. - Series A",3.22,USD,2.5477707006369448,67723,0.4583940538663616,29131194.382165603,USD,-1200.2660411282166,Consumer services,No rating,6.129277206559177,7.306419087693005,8.124659382632503,8.783783783783791
BEEM,Beam Global,1.53,USD,-7.272727272727265,536424,1.5211246517789898,29114899.472727276,USD,-133.59990157480317,Producer manufacturing,Strong buy,1.5930221405891298,1.6787676724112932,1.8061608027222384,-1.9230769230769247
BZFD,"BuzzFeed, Inc.",0.781,USD,2.8443508032657445,222980,0.9967239260677413,29059349.06373453,USD,,Technology services,Neutral,0.8428842614261886,0.9188351915387495,1.0625652084579797,2.7631578947368443
ANTX,"AN2 Therapeutics, Inc.",1.06,USD,-1.8518518518518534,185695,2.072084135353028,29046145.518518522,USD,44.58948814840261,Health technology,Neutral,1.096935810298023,1.114330470015089,1.1314401125939424,-3.636363636363639
VSMR,Verify Smart Corp.,0.04925,USD,146.25,2000,0.113902351514047,28956475.000000004,USD,-8.823529411764715,Finance,No rating,0.04175223651249834,0.0429093454855376,0.04293264919497986,205.90062111801242
HPYCF,FOX TUNGSTEN LTD,0.135,USD,-10.596026490066217,63584,0.7838109701978264,28881425.769230776,USD,-321.54943576441497,Non-energy minerals,No rating,0.11621587127571797,0.10993659650940749,0.10160764658955847,-8.163265306122437
NCXS,"NBC Bancorp, Inc.",60.99,USD,0.01639881928501987,100,0.1998800719568259,28862845.830129564,USD,,Finance,No rating,60.01100969974888,59.738262159555966,58.89944260336536,0
CNBZ,CNB Corp. (MI),23.75,USD,1.0638297872340425,2402,4.6174548250672816,28785000.933202356,USD,16.807045882850673,Finance,No rating,22.795752978383582,22.00152386373719,21.10447068157834,-3.061224489795918
MYO,Myomo Inc.,0.7485,USD,-0.26648900732843317,239152,0.542311139995832,28768990.948700875,USD,-25.543951261966917,Distribution services,Strong buy,0.8154861772205242,0.8652264849792278,1.000929381111402,1.1486486486486571
